2021-04-27T10:25:39.999
1, 2, -8.032, 14.047999999999998, -1.4500000000000013, 0.8399999999999999, 12.928, 0.0, 6.204000000000001, 8.118, -10.374, -5.700000000000001
2, 2, -11.185999999999998, -7.545999999999999, 4.290000000000001, -5.700000000000001, 8.492, -4.862000000000002, 4.248000000000001, -7.584, 8.163999999999998, -9.696000000000002
3, 2, 0.29200000000000004, -3.75, 8.856, 4.311999999999999, -12.64, -11.491999999999999, 14.658, -11.61, -5.302, -3.912000000000001
4, 2, 0.712, -5.1259999999999994, -4.861999999999999, -10.169999999999998, -2.7819999999999996, 7.320000000000001, -7.979999999999999, 0.0, 5.814000000000002, -6.816000000000001
5, 2, 0.0, -8.184, -11.01, -8.512, 10.431999999999999, -7.618000000000001, -6.419999999999999, 0.558, -4.98, 7.83
6, 2, -12.320000000000002, 2.87, -7.648, -11.088000000000001, -10.169999999999998, -10.443999999999999, -8.188000000000002, 12.512, -9.542, -4.991999999999999
7, 2, 15.084000000000001, 0.56, 1.5599999999999996, -8.111999999999998, -7.52, -11.552, 12.990000000000002, -11.61, -9.044, -12.25
8, 2, 0.0, -8.55, -3.1079999999999997, -5.901999999999999, 3.5420000000000007, 5.18, 3.072, 13.77, 12.104, 8.100000000000001
9, 2, 14.654000000000002, 3.4320000000000004, -4.7459999999999996, -5.5, -8.8, -10.982, -4.290000000000001, -4.619999999999999, 8.520000000000001, 14.858000000000002
10, 2, -9.23, -4.248000000000001, -3.6720000000000006, -7.252000000000001, -5.74, -9.724, -8.372000000000002, -5.540000000000001, -5.054, -7.368000000000001
11, 2, -9.943999999999999, 12.21, -8.088, 8.16, -10.478000000000002, 14.858000000000002, 0.0, -8.875999999999998, 10.399999999999999, -8.596000000000002
12, 2, -5.616, -6.994000000000001, 0.0, 8.879999999999999, -11.408, 10.478000000000002, 0.3700000000000001, 0.498, 0.0, 8.034
13, 2, -4.509999999999999, -11.083999999999998, -6.264, 1.0380000000000003, 0.0, -11.760000000000002, -9.792000000000002, 0.0, -4.373999999999998, -1.42
14, 2, -9.389999999999999, -4.114, 0.688, 0.0, -5.592, -7.42, 0.0, -7.411999999999999, -8.207999999999998, -4.550000000000001
15, 2, 0.0, -10.830000000000002, -9.906, -7.52, -12.138, -11.284, -4.895999999999999, -9.088000000000001, -4.699999999999999, 0.0
16, 2, -9.000000000000002, 5.431999999999999, 8.371999999999998, -6.744000000000001, 0.0, 0.7360000000000002, -4.770000000000001, 1.943999999999999, -12.312, -10.332
17, 2, 3.894000000000001, -10.108, -11.25, -8.73, -1.8259999999999992, 3.1460000000000004, 10.136, -6.710000000000001, -9.771999999999998, 7.176000000000001
18, 2, 7.416000000000001, -6.318, 0.24, -5.258, -7.462000000000001, 7.92, -11.735999999999999, -11.91, 9.547999999999998, -6.089999999999999
19, 2, 0.0, -5.251999999999999, -7.722000000000001, -8.384, 1.476, -11.185999999999998, 2.838, 5.711999999999999, -9.516, 9.624
20, 2, 11.648, -7.252000000000001, 7.774000000000001, 7.457999999999999, -6.526, -10.079999999999998, -9.408000000000001, -8.602, -8.0, 2.112
21, 2, 3.3660000000000005, -10.472, -12.628000000000002, -11.594, -6.699999999999999, -9.936, 6.143999999999998, -4.392000000000001, -6.523999999999999, -9.76
22, 2, -6.459999999999999, 8.426, -8.55, 3.8640000000000008, -4.775999999999999, -9.792000000000002, -12.501999999999999, -7.904, 0.0, -5.1800000000000015
23, 2, -12.888, -11.015999999999998, -4.245999999999999, -9.66, 6.389999999999999, 5.879999999999999, -1.5860000000000014, -7.414, 10.276, -7.766
24, 2, -10.388, -10.975999999999999, -10.591999999999999, -13.248, -9.379999999999999, -9.952000000000002, -9.575999999999999, -0.19800000000000018, -10.367999999999999, -9.984
25, 2, -7.4239999999999995, 8.687999999999999, -4.66, -4.508000000000001, -6.622000000000001, -8.610000000000001, 7.727999999999999, -3.7680000000000007, -11.742000000000003, 5.543999999999999
26, 2, -11.303999999999998, -6.58, -12.443999999999999, -9.45, 9.958, -10.271999999999998, 3.9000000000000004, -5.824000000000002, -9.030000000000001, -5.478
27, 2, -8.232, 8.84, 9.771999999999998, -8.964, 0.9119999999999995, -10.559999999999999, -7.414, -8.271999999999998, -6.534000000000001, -5.74
28, 2, 0.0, -6.527999999999999, -9.622000000000002, 1.5040000000000013, -4.1, -5.699999999999998, -9.984000000000002, 0.0, -8.293999999999999, -12.104
29, 2, -7.616, 0.5960000000000001, -6.24, 8.376, -3.982000000000001, 7.193999999999999, 8.832, -4.248000000000001, -11.807999999999998, 12.420000000000002
30, 2, -9.072, -9.588000000000001, -3.5, 2.729999999999999, -10.16, -3.695999999999999, -8.652000000000001, 0.0, -3.198, -4.056000000000001
31, 2, 0.0, 0.0, 8.492, 0.0, 3.7180000000000004, 0.0, 0.0, 0.0, -13.775999999999998, 9.648
32, 2, -10.687999999999999, 4.949999999999999, 3.0799999999999996, -6.526, -3.1400000000000006, 13.77, -9.629999999999999, -10.404000000000002, -11.49, -4.859999999999999
33, 2, -6.2719999999999985, 1.9499999999999988, -6.449999999999999, 7.766, 0.8879999999999999, -6.655999999999999, -10.709999999999997, -6.859999999999999, -11.339999999999998, -4.424000000000001
34, 2, 0.0, 0.0, -12.07, 0.0, -8.822000000000001, -7.81, -9.152000000000001, -11.73, 0.0, 0.0
35, 2, 0.0, 0.0, -7.462000000000001, -12.768, 0.0, -12.672, 0.0, 0.0, 0.0, 0.0
36, 2, -9.88, -7.4239999999999995, -6.5520000000000005, 10.879999999999999, -10.830000000000002, 7.416000000000001, -4.134, 0.278, -4.416000000000001, 7.457999999999999
37, 2, -1.7939999999999987, -12.75, 3.6480000000000006, -6.708, -8.36, 1.3420000000000012, -11.375999999999998, -8.764, -3.4980000000000007, 0.0
38, 2, -6.329999999999999, -10.35, -4.9399999999999995, -8.008000000000001, -6.448, -7.545999999999999, 10.219999999999999, -8.372000000000002, -8.819999999999999, 8.086000000000002
39, 2, 0.0, -8.624000000000002, -11.776, -9.989999999999998, 4.620000000000001, 7.200000000000001, -8.448, 7.3580000000000005, -9.192, 1.02
40, 2, 6.37, -10.370000000000001, -8.97, -8.376, -9.330000000000002, 6.951999999999999, -7.392000000000002, -10.399999999999999, -7.42, -8.189999999999998
41, 2, -4.784000000000002, 7.410000000000001, -6.299999999999999, -7.5600000000000005, -12.056000000000001, -10.379999999999999, -5.082, 0.4159999999999999, -4.421999999999999, -3.799999999999999
42, 2, -4.96, -3.979999999999999, -9.323999999999998, -9.239999999999998, 1.6399999999999992, -3.799999999999999, -5.1259999999999994, -1.7679999999999987, 6.995999999999999, -11.144
43, 2, 4.564000000000001, 4.836000000000001, 7.722000000000001, -7.744, 0.42799999999999994, 9.152, -8.84, 8.764, -10.336000000000002, 3.12
44, 2, -6.734, -10.02, -11.015999999999998, -11.546, -9.248000000000001, -7.942, -8.814, -2.706, -7.4879999999999995, -7.98
45, 2, -4.44, 0.0, 0.0, -7.176, 0.0, -4.319999999999999, 9.344000000000001, -9.568000000000001, 0.0, 4.238000000000001
46, 2, -5.459999999999999, 3.8640000000000008, -9.599999999999998, -8.426, -9.52, -8.772, 0.0, 6.204000000000001, -9.384, -7.9300000000000015
47, 2, 0.0, -4.536, -9.479999999999999, -9.424, 0.0, -9.856000000000002, -5.472000000000001, -9.267999999999999, -10.079999999999998, -7.2379999999999995
48, 2, -9.78, -10.542, 4.264000000000001, -10.336, -10.122, -10.192, 6.812, -9.112, 6.732000000000001, -6.804
49, 2, -12.171999999999999, 0.8399999999999999, 4.564000000000001, -5.460000000000001, -10.36, -1.8700000000000006, 2.838, 4.172000000000001, 0.0, -13.536000000000001
50, 2, -10.709999999999999, -8.988, 10.062000000000001, 9.074, -7.05, -13.148, 3.5520000000000005, -12.336, 9.758000000000001, -11.64
best function value -13.775999999999998 at evaluation 309
0.6965191430122795, 0.6105572702106884, 0.3824249305389976, -0.5203078916642063, 0.3032108279058803, 0.17184108580545143
2021-04-27T11:35:57.450
